,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
2847,FCI FLORENCE,1269,Not Suspended,2023-11-28 10:26:20 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
2848,USP FLORENCE ADMAX,331,Not Suspended,2023-11-28 10:26:35 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
2849,USP FLORENCE - HIGH,960,Suspended,2023-11-28 10:26:51 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male,81226
2850,FCI FORREST CITY MEDIUM,1691,Not Suspended,2023-11-28 10:27:07 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
2851,FCI FORREST CITY LOW,1769,Not Suspended,2023-11-28 10:27:25 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male,72335
2852,FCI FORT DIX,3797,Not Suspended,2023-11-28 10:27:41 PST,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male,08640
2853,FMC FORT WORTH,1483,Not Suspended,2023-11-28 10:27:56 PST,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male,76119
2854,FCI GILMER,1680,Not Suspended,2023-11-28 10:28:12 PST,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male,26351
2855,FCI GREENVILLE,1241,Not Suspended,2023-11-28 10:28:30 PST,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female,62246
2856,MDC GUAYNABO,1183,Suspended,2023-11-28 10:28:45 PST,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female,00965
2857,FCI HAZELTON,2034,Not Suspended,2023-11-28 10:29:04 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female,26525
2858,USP HAZELTON,1587,Not Suspended,2023-11-28 10:29:19 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male,26525
2859,FCI HERLONG,1498,Suspended,2023-11-28 10:29:35 PST,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male,96113
2860,FDC HONOLULU,295,Not Suspended,2023-11-28 10:29:51 PST,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female,96819
2861,FDC HOUSTON,738,Not Suspended,2023-11-28 10:30:06 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female,77002
2862,FCI JESUP,1632,Not Suspended,2023-11-28 10:30:22 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male,31599
2863,FCI LA TUNA,784,Not Suspended,2023-11-28 10:30:38 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male,79821
2864,USP LEAVENWORTH,2023,Not Suspended,2023-11-28 10:30:55 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male,66048
2865,USP LEE,1516,Not Suspended,2023-11-28 10:31:10 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male,24277
