population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
1487.0,72.8,55.9,0.04,0.0,1,0,0,1
1246.0,51.1,36.3,0.19,0.0,0,1,0,1
1660.0,46.1,31.0,0.0,9.70873786407767,1,0,1,0
666.0,58.1,39.0,7.58,0.0,1,0,1,0
448.0,43.7,32.4,0.0,0.0,1,0,0,1
0.0,34.7,33.2,4.69,100.0,1,0,0,0
1301.0,59.2,41.0,0.07,0.0,1,0,0,1
1370.0,58.0,47.5,1.64,11.650485436893204,1,0,1,0
1259.0,48.6,25.2,17.13,78.64077669902912,1,0,1,0
978.0,64.5,48.5,0.0,0.0,0,0,1,0
1477.0,36.1,10.3,0.0,26.21359223300971,1,0,0,0
64.0,69.7,63.2,35.21,0.0,1,0,0,1
1134.0,44.8,32.6,47.99,0.0,1,0,0,1
914.0,78.7,70.6,24.47,3.8834951456310676,0,1,1,0
1807.0,49.0,37.9,0.0,15.66265060240964,1,0,0,0
1033.0,45.1,27.0,0.0,0.0,1,0,0,0
900.0,62.7,49.6,0.39,2.912621359223301,1,0,0,0
1698.0,65.4,45.3,1.9,0.0,1,0,1,0
463.0,53.9,32.0,0.0,0.0,1,0,0,1
1238.0,41.3,33.6,4.55,0.9708737864077669,0,1,0,1
1223.0,67.1,48.2,0.0,0.0,0,1,1,0
1197.0,69.5,61.4,11.3,18.446601941747574,1,0,1,0
1164.0,60.4,49.0,0.9,21.35922330097087,1,0,0,0
1270.0,38.4,23.8,32.06,35.92233009708738,1,0,1,0
1567.0,69.6,53.0,1.22,35.92233009708738,1,0,1,0
699.0,59.1,50.1,0.0,0.0,0,1,0,0
1099.0,54.3,41.8,27.67,6.796116504854369,1,0,0,1
728.0,43.9,33.4,65.06,0.0,0,0,0,1
947.0,62.4,34.4,0.0,3.8834951456310676,1,0,1,0
626.0,52.7,44.7,0.22,0.0,1,0,0,1
575.0,49.1,38.5,0.0,0.0,1,0,0,0
684.0,68.0,51.0,24.95,0.0,1,0,0,1
683.0,72.0,57.8,0.19,0.0,0,0,0,0
1509.0,35.1,23.5,4.14,26.21359223300971,1,0,0,0
956.0,72.9,57.3,0.02,3.8834951456310676,1,0,1,0
1660.0,65.0,61.0,87.57,4.854368932038835,1,0,0,1
1199.0,74.5,54.1,0.0,0.0,1,0,0,1
1285.0,77.7,56.0,0.0,47.57281553398058,1,0,1,0
780.0,68.4,30.0,0.0,0.0,1,0,1,0
746.0,46.2,34.2,0.0,12.62135922330097,0,1,0,0
1663.0,58.6,43.1,0.0,18.446601941747574,1,0,1,0
703.0,53.3,39.6,10.51,0.0,0,0,0,1
939.0,51.2,30.8,0.0,0.0,1,0,0,1
1138.0,54.8,41.8,0.97,0.0,1,0,0,1
1967.0,40.5,30.1,0.0,22.330097087378643,1,0,0,1
783.0,23.0,14.6,0.09,0.0,0,0,0,0
1127.0,14.3,5.3,2.08,11.650485436893204,1,0,1,0
1575.0,49.7,32.9,0.0,0.0,1,0,1,0
669.0,41.0,36.0,18.73,0.0,1,0,0,0
1441.0,47.6,37.8,3.78,8.737864077669903,1,0,0,0
2013.0,59.5,33.5,0.0,13.592233009708737,0,1,0,1
637.0,62.5,49.2,0.0,0.0,1,0,0,1
1230.0,61.0,32.2,0.0,4.854368932038835,1,0,0,1
1977.0,61.5,48.7,2.67,22.330097087378643,1,0,0,1
1298.0,54.4,40.9,0.05,4.854368932038835,0,1,0,0
1561.0,61.5,48.5,0.0,20.388349514563107,0,1,0,0
817.0,41.0,26.5,3.36,0.0,1,0,1,0
572.0,68.0,46.1,0.0,0.0,1,0,0,0
1715.0,60.3,51.3,11.02,0.0,1,0,1,0
416.0,84.6,74.1,43.13,0.0,1,0,1,0
2009.0,82.7,59.4,0.0,4.854368932038835,1,0,0,1
1081.0,37.7,20.3,0.0,17.475728155339805,1,0,1,0
1237.0,92.5,68.5,0.0,0.0,1,0,1,0
805.0,37.4,25.1,0.0,0.0,1,0,1,0
2071.0,68.8,62.4,7.58,4.854368932038835,1,0,0,1
1564.0,70.9,41.9,0.0,35.92233009708738,1,0,1,0
964.0,80.8,76.3,0.02,0.9708737864077669,0,1,1,0
1102.0,39.1,36.0,5.48,0.0,1,0,0,1
1508.0,53.4,36.2,0.0,0.0,1,0,0,1
820.0,38.5,25.4,0.03,0.0,1,0,1,0
781.0,36.6,30.0,4.45,0.9708737864077669,1,0,1,0
793.0,20.5,-3.3,1.45,0.9708737864077669,1,0,1,0
1414.0,40.1,25.0,0.0,21.35922330097087,1,0,0,1
1093.0,59.4,40.4,0.0,0.0,1,0,1,0
979.0,61.6,46.6,0.0,3.8834951456310676,0,1,1,0
1297.0,76.5,52.8,0.0,47.57281553398058,1,0,1,0
945.0,55.6,47.9,7.45,0.0,1,0,0,1
828.0,58.7,38.2,0.0,0.0,1,0,0,1
1259.0,31.6,19.1,0.39,78.64077669902912,1,0,1,0
1659.0,49.7,35.0,0.0,9.70873786407767,1,0,1,0
1374.0,52.4,44.0,3.5,1.9417475728155338,1,0,1,0
1121.0,31.3,24.0,0.0,10.679611650485436,1,0,0,0
1116.0,100.2,72.1,0.0,17.475728155339805,1,0,1,0
1430.0,66.5,33.8,0.0,0.0,0,1,0,1
60.0,83.8,61.2,0.0,0.0,1,0,0,1
1328.0,61.2,33.6,0.0,8.737864077669903,1,0,0,0
925.0,63.8,60.4,0.1,0.0,1,0,0,0
1598.0,48.5,40.4,0.41,20.388349514563107,0,1,0,0
1578.0,57.4,47.0,29.34,29.126213592233007,1,0,0,1
1361.0,60.9,42.5,0.0,8.737864077669903,1,0,0,0
1789.0,93.4,59.2,0.0,22.330097087378643,1,0,0,1
1050.0,71.1,53.7,0.0,10.679611650485436,1,0,0,1
878.0,69.4,56.7,0.14,2.912621359223301,1,0,1,0
1215.0,48.9,33.2,0.28,4.854368932038835,1,0,0,1
952.0,52.0,31.2,0.0,3.8834951456310676,1,0,1,0
906.0,64.1,58.5,10.45,2.912621359223301,1,0,0,0
1140.0,57.6,38.1,0.0,0.0,1,0,0,1
1645.0,43.9,22.6,0.37,16.50485436893204,1,0,0,1
2105.0,67.2,43.2,1.43,11.650485436893204,1,0,0,0
58.0,54.7,32.9,0.0,0.0,1,0,0,1
829.0,68.3,47.1,2.3,0.0,1,0,0,1
2026.0,67.6,40.6,1.45,13.592233009708737,0,1,0,1
1663.0,55.6,48.4,20.97,18.446601941747574,1,0,1,0
1272.0,83.7,36.3,0.0,1.9417475728155338,1,0,1,0
1857.0,56.3,49.3,9.54,0.0,1,0,1,0
581.0,34.5,23.2,0.01,0.0,1,0,0,0
816.0,54.4,48.8,1.61,12.62135922330097,0,1,0,0
1058.0,69.8,53.7,0.0,17.475728155339805,1,0,1,0
628.0,68.6,57.4,3.5,0.0,1,0,0,1
1197.0,72.7,53.5,0.0,18.446601941747574,1,0,1,0
1299.0,49.6,33.6,0.0,4.854368932038835,0,1,0,0
878.0,77.5,74.7,0.05,0.9708737864077669,0,1,1,0
2012.0,77.8,58.1,0.0,18.446601941747574,1,0,1,0
1124.0,78.1,52.6,0.0,1.9417475728155338,1,0,1,0
1963.0,55.4,35.3,0.0,22.330097087378643,1,0,0,1
969.0,51.0,31.7,0.0,0.0,1,0,0,1
1317.0,55.8,43.3,0.08,0.0,1,0,0,0
1189.0,72.5,57.2,0.02,1.9417475728155338,1,0,1,0
626.0,62.4,42.5,0.0,0.0,1,0,0,1
1128.0,43.8,41.2,31.27,27.184466019417474,1,0,1,0
1792.0,59.1,36.7,0.0,22.330097087378643,1,0,0,1
1977.0,46.1,36.1,0.0,22.330097087378643,1,0,0,1
713.0,45.6,16.9,0.0,0.0,0,0,0,1
1356.0,79.7,51.4,0.0,47.57281553398058,1,0,1,0
2056.0,76.6,59.5,0.0,49.51456310679612,1,0,1,0
1649.0,42.1,27.1,0.0,18.446601941747574,1,0,1,0
1648.0,49.5,28.4,0.0,4.854368932038835,1,0,1,0
1548.0,44.6,20.4,0.0,4.854368932038835,1,0,0,1
1585.0,40.9,30.7,9.1,4.854368932038835,1,0,0,1
782.0,53.5,33.3,0.0,3.8834951456310676,1,0,0,0
679.0,54.9,41.6,0.0,0.0,0,1,1,0
683.0,30.1,10.0,1.65,18.446601941747574,1,0,0,0
805.0,38.5,28.7,2.58,0.0,1,0,1,0
1131.0,52.2,29.5,0.0,0.0,1,0,0,1
879.0,64.4,36.9,53.99,2.912621359223301,1,0,1,0
1305.0,76.2,56.3,15.1,34.95145631067961,1,0,0,1
878.0,80.6,75.6,0.03,0.9708737864077669,0,1,1,0
1045.0,47.5,26.7,0.0,0.0,1,0,0,0
54.0,55.9,49.8,2.91,0.0,1,0,0,1
