ds,yhat,title,zip,avgtemp_f,totalprecip_mm,lockdown_probability
2024-05-04 22:03:21,1353.8704132749485,USP BIG SANDY,41224,60.0,0.0,0.495509600011415
2024-05-05 22:03:21,1348.334599969784,USP BIG SANDY,41224,60.0,0.0,0.49544990607778266
2024-05-06 22:03:21,1349.338770004994,USP BIG SANDY,41224,60.0,0.0,0.49546073426202447
2024-05-07 22:03:21,1341.2208987091806,USP BIG SANDY,41224,60.0,0.0,0.4953731976102263
2024-05-08 22:03:21,1342.9638192919667,USP BIG SANDY,41224,60.0,0.0,0.49539199185245736
2024-05-01 22:03:37,1044.776783516444,FCI BIG SPRING,79720,75.6,7.34,0.5562043279138296
2024-05-02 22:03:37,1046.834885190255,FCI BIG SPRING,79720,78.4,0.03,0.5351822563151302
2024-05-03 22:03:37,1047.5119650141776,FCI BIG SPRING,79720,60.0,0.0,0.4922063077412442
2024-05-04 22:03:37,1046.071951933958,FCI BIG SPRING,79720,60.0,0.0,0.492190782264141
2024-05-05 22:03:37,1049.1565745923997,FCI BIG SPRING,79720,60.0,0.0,0.4922240390904782
2024-05-06 22:03:37,1051.0730115206188,FCI BIG SPRING,79720,60.0,0.0,0.4922447011694867
2024-05-07 22:03:37,1050.8488810831757,FCI BIG SPRING,79720,60.0,0.0,0.4922422847041375
2024-05-08 22:03:37,1048.605385428643,FCI BIG SPRING,79720,60.0,0.0,0.4922180964453216
2024-05-01 22:03:53,1390.9457019895156,MDC BROOKLYN,11232,57.1,0.21,0.489942201951893
2024-05-02 22:03:53,1384.6251070766568,MDC BROOKLYN,11232,60.4,0.0,0.49677440783601146
2024-05-03 22:03:53,1388.1174112638937,MDC BROOKLYN,11232,60.0,0.0,0.49587889595835044
2024-05-04 22:03:53,1398.179561528946,MDC BROOKLYN,11232,60.0,0.0,0.4959874001022359
2024-05-05 22:03:53,1390.1922485927414,MDC BROOKLYN,11232,60.0,0.0,0.4959012697180204
2024-05-06 22:03:53,1397.381096124501,MDC BROOKLYN,11232,60.0,0.0,0.4959787899202055
2024-05-07 22:03:53,1393.9432820630634,MDC BROOKLYN,11232,60.0,0.0,0.4959417185794951
2024-05-08 22:03:53,1392.6682536792491,MDC BROOKLYN,11232,60.0,0.0,0.4959279694436009
2024-05-01 22:04:12,680.469620536067,FPC BRYAN,77803,74.8,3.42,0.5357020289266671
2024-05-02 22:04:12,682.7402412009311,FPC BRYAN,77803,76.1,5.62,0.5470345871050868
2024-05-03 22:04:12,682.1051112863807,FPC BRYAN,77803,60.0,0.0,0.4882672433663774
2024-05-04 22:04:12,680.1942841589765,FPC BRYAN,77803,60.0,0.0,0.48824664816528807
2024-05-05 22:04:12,682.1054317325712,FPC BRYAN,77803,60.0,0.0,0.4882672468202011
2024-05-06 22:04:12,683.4023402990076,FPC BRYAN,77803,60.0,0.0,0.4882812251313297
2024-05-07 22:04:12,680.4735889911055,FPC BRYAN,77803,60.0,0.0,0.48824965855505364
2024-05-08 22:04:12,680.4734331932245,FPC BRYAN,77803,60.0,0.0,0.48824965687584015
2024-05-01 22:04:27,1432.2887861568506,FCI BUTNER MEDIUM II,27509,68.2,1.22,0.5201078638416426
2024-05-02 22:04:27,1434.9642603526436,FCI BUTNER MEDIUM II,27509,69.7,0.0,0.5190054726455156
2024-05-03 22:04:27,1434.2251339101033,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.4963760967879484
